No,Prodi,Angkatan,Kepuasan,IPK,Sikap
175,B,2017,90,3.20,Setuju
176,B,2017,75,3.20,abstain
177,B,2017,85,3.96,Setuju
178,B,2017,90,3.60,Setuju
179,B,2017,90,3.60,Setuju
180,B,2017,80,4.00,Setuju
181,B,2017,80,2.80,Setuju
182,B,2017,80,2.80,Setuju
183,B,2017,100,4.00,Setuju
184,B,2017,100,4.00,Setuju
185,B,2017,85,3.40,Setuju
186,B,2017,80,2.60,Setuju
187,B,2017,85,3.40,Setuju
188,B,2017,97,4.00,Setuju
189,B,2017,80,3.20,Setuju
190,B,2017,80,3.20,Setuju
191,B,2017,96,3.80,Setuju
192,B,2017,100,3.80,Setuju
193,B,2017,90,3.00,Setuju
194,B,2017,85,3.20,Setuju
195,B,2017,85,3.96,Setuju
196,B,2017,70,2.80,abstain
197,B,2017,80,1.60,Setuju
198,B,2017,100,4.00,Setuju
199,B,2017,80,3.20,Setuju
200,B,2017,80,3.20,Setuju
201,B,2017,90,3.60,Setuju
202,B,2017,85,3.40,Setuju
203,B,2017,90,3.20,Setuju
204,B,2017,90,3.40,Setuju
205,B,2017,70,1.60,abstain
206,B,2017,70,2.80,abstain
207,C,2016,85,3.20,Setuju
208,C,2016,99.9,4.00,Setuju
209,C,2016,80,3.40,Setuju
210,C,2016,75,2.72,abstain
211,C,2016,70,2.80,abstain
212,C,2016,70,2.80,abstain
213,C,2016,80,3.20,Setuju
214,C,2016,100,4.00,Setuju
215,C,2016,98,4.00,Setuju
216,C,2016,98,4.00,Setuju
217,C,2016,80,3.20,Setuju
218,C,2016,75,3.20,abstain
219,C,2016,99,3.20,Setuju
220,C,2016,99.9,4.00,Setuju
221,C,2016,80,3.60,Setuju
222,C,2016,99.9,4.00,Setuju
223,C,2016,98,3.92,Setuju
224,C,2016,70,2.80,abstain
225,C,2016,85,3.20,Setuju
226,C,2016,99.9,4.00,Setuju
227,C,2016,99,4.00,Setuju
228,C,2016,80,3.20,Setuju
229,C,2016,70,3.20,abstain
230,C,2016,60,2.40,Tidak Setuju
231,C,2016,85,3.40,Setuju
232,C,2016,80,3.20,Setuju
233,C,2016,85,3.40,Setuju
234,C,2016,90,3.60,Setuju
235,C,2016,88,4.00,Setuju
236,C,2016,80,4.00,Setuju
237,C,2016,85,3.20,Setuju
238,C,2016,90,3.92,Setuju
239,C,2016,99,4.00,Setuju
240,C,2016,30,0.80,Tidak Setuju
241,C,2016,70,2.80,abstain
242,C,2016,85,3.40,Setuju
243,C,2016,100,4.00,Setuju
244,C,2016,95,3.40,Setuju
245,C,2016,98,3.92,Setuju
246,C,2016,85,2.80,Setuju
247,C,2016,90,3.60,Setuju
248,C,2016,95,3.80,Setuju
249,C,2016,99.9,4.00,Setuju
250,C,2016,80,3.60,Setuju
251,C,2016,85,2.80,Setuju
252,C,2016,100,4.00,Setuju
253,C,2016,75,3.20,abstain
254,C,2016,100,3.60,Setuju
255,C,2016,90,3.40,Setuju
256,C,2016,80,3.96,Setuju
257,C,2016,90,3.40,Setuju
258,C,2016,85,3.40,Setuju
259,C,2016,50,2.00,Tidak Setuju
260,C,2016,90,3.96,Setuju
261,C,2016,80,3.20,Setuju
262,C,2016,85,3.20,Setuju
263,C,2016,90,4.00,Setuju
264,C,2016,96,3.20,Setuju
265,C,2016,80,2.80,Setuju
266,C,2016,100,4.00,Setuju
267,C,2016,80,3.20,Setuju
268,C,2016,80,3.00,Setuju
269,C,2016,80,4.00,Setuju
270,C,2016,90,3.20,Setuju
271,C,2016,75,3.20,abstain
272,C,2016,95,3.00,Setuju
273,C,2016,100,4.00,Setuju
274,C,2016,80,2.80,Setuju
275,C,2016,80,2.40,Setuju
276,C,2016,80,3.40,Setuju
277,C,2016,85,3.20,Setuju
278,C,2016,90,3.68,Setuju
279,C,2016,80,3.60,Setuju
